"시도","시군구","성별","0~4세","5~9세","10~14세","15~19세","20~24세","25~29세","30~34세","35~39세","40~44세","45~49세","50~54세","55~59세","60~64세","65~69세","70~74세","75~79세","80세이상"
"부산광역시","금정구","여","34","16","3","190","1175","446","193","105","50","73","67","40","19","7","1","1","3"
"부산광역시","기장군","남","9","3","4","12","148","373","392","248","109","59","42","24","12","7","4","2","1"
"부산광역시","기장군","여","6","4","3","4","75","102","115","61","44","54","39","25","12","3","2","0","0"
"부산광역시","남구","남","26","21","9","398","938","402","224","137","88","73","56","37","32","15","4","2","5"
"부산광역시","남구","여","37","12","8","391","993","478","233","84","76","71","64","54","22","6","2","4","5"
"부산광역시","동구","남","18","17","12","20","29","86","115","83","61","46","53","45","43","21","10","5","2"
"부산광역시","동구","여","19","20","15","19","83","129","133","100","76","64","45","48","38","22","10","4","11"
"부산광역시","동래구","남","7","1","5","8","28","72","72","58","28","39","23","24","15","5","1","1","1"
"부산광역시","동래구","여","6","6","6","18","61","121","90","51","64","42","34","33","15","6","0","1","3"
"부산광역시","부산진구","남","26","13","12","45","87","136","122","90","71","81","71","49","38","10","6","4","1"
"부산광역시","부산진구","여","12","16","8","78","250","282","237","122","111","102","74","71","36","9","8","1","5"
"부산광역시","북구","남","9","5","4","80","319","96","36","43","27","46","43","32","15","5","3","4","2"
"부산광역시","북구","여","11","2","6","93","283","178","129","77","71","63","62","47","21","10","3","0","4"
"부산광역시","사상구","남","25","7","12","99","689","556","490","291","143","113","93","63","31","15","5","1","4"
"부산광역시","사상구","여","21","16","11","124","852","407","237","154","79","127","106","85","32","17","5","0","2"
"부산광역시","사하구","남","23","6","10","22","292","603","585","441","249","157","115","56","36","13","4","2","2"
"부산광역시","사하구","여","23","9","13","29","216","273","262","175","119","122","128","92","36","16","1","1","0"
"부산광역시","서구","남","6","4","6","16","131","185","224","211","160","86","32","24","11","8","4","2","1"
"부산광역시","서구","여","9","8","9","28","110","89","77","56","41","29","47","31","11","8","3","5","1"
"부산광역시","수영구","남","14","9","5","12","37","88","121","96","86","50","39","28","17","9","3","3","0"
"부산광역시","수영구","여","20","9","5","8","62","142","113","74","70","46","40","28","16","11","1","1","2"
"부산광역시","연제구","남","9","0","3","6","24","28","57","39","29","27","29","21","7","9","1","1","0"
"부산광역시","연제구","여","9","3","3","9","45","104","84","67","37","43","45","17","17","3","0","1","0"
"부산광역시","영도구","남","11","11","7","12","72","186","238","176","128","80","36","23","21","8","2","1","1"
"부산광역시","영도구","여","13","4","6","23","70","106","85","57","43","57","49","36","17","6","2","3","2"
"부산광역시","중구","남","10","5","5","39","101","182","228","179","165","66","34","24","18","13","7","2","7"
"부산광역시","중구","여","8","5","6","55","131","67","48","47","36","36","38","29","17","11","4","5","5"
"부산광역시","해운대구","남","71","65","48","73","258","298","253","223","208","154","131","113","66","34","13","11","5"
