"시도","시군구","성별","문화예술(D-1)","구직(D-10)","유학(D-2)","기술연수(D-3)","일반연수(D-4)","취재(D-5)","종교(D-6)","주재(D-7)","기업투자(D-8)","무역경영(D-9)","교수(E-1)","선원취업(E-10)","회화(E-2)","연구(E-3)","기술지도(E-4)","전문직업(E-5)","예술흥행(E-6)","특정활동(E-7)","비전문취업(E-9)","방문동거(F-1)","거주(F-2)","동반(F-3)","영주(F-5)","결혼이민(F-6)","기타(G-1)","관광취업(H-1)","방문취업(H-2)","기타"
"부산광역시","사하구","여","0","5","123","5","30","0","1","1","0","0","1","0","29","1","0","0","1","3","67","246","40","30","189","647","5","5","86","0"
"부산광역시","서구","남","0","7","79","3","23","0","3","0","6","1","3","704","8","0","0","0","0","22","71","49","15","3","67","19","2","0","25","1"
"부산광역시","서구","여","0","4","72","3","29","0","3","0","1","0","0","0","11","0","0","0","0","1","33","77","23","8","96","170","6","1","24","0"
"부산광역시","수영구","남","1","6","14","3","13","0","3","2","11","2","12","68","112","0","0","0","0","48","14","61","28","11","69","80","0","1","37","21"
"부산광역시","수영구","여","0","5","17","3","10","0","3","0","0","0","2","0","95","0","0","0","2","14","0","78","23","28","86","216","2","6","28","30"
"부산광역시","연제구","남","0","1","18","5","2","0","1","0","3","1","0","8","11","0","0","0","0","19","37","43","9","2","47","37","2","0","44","0"
"부산광역시","연제구","여","0","2","15","3","7","0","0","0","0","0","0","0","15","1","0","0","8","2","4","67","18","9","80","217","1","3","35","0"
"부산광역시","영도구","남","0","6","103","1","18","0","5","12","6","11","1","484","11","0","0","0","0","11","130","62","16","11","55","23","2","0","43","2"
"부산광역시","영도구","여","0","3","55","2","23","0","1","0","0","0","0","0","3","0","0","0","0","7","6","93","18","25","98","214","2","1","28","0"
"부산광역시","중구","남","0","2","34","0","56","0","1","0","5","2","0","726","8","0","0","0","0","23","6","35","34","7","94","10","6","0","29","7"
"부산광역시","중구","여","0","5","81","0","88","0","0","0","2","0","2","10","10","0","0","0","0","22","2","30","38","8","107","89","8","3","38","5"
