"id","location","gender","country","country_total"
478,강동구,남,크로아티아,0
479,강동구,남,아르메니아,0
480,강동구,남,리투아니아,0
481,강동구,남,파라과이,0
482,강동구,남,브루나이,0
483,강동구,남,세르비아,2
484,강동구,남,볼리비아,0
485,강동구,남,도미니카공화국,0
486,강동구,남,엘살바도르,0
487,강동구,남,오만,0
488,강동구,남,가봉,0
489,강동구,남,코스타리카,0
490,강동구,남,파나마,0
491,강동구,남,슬로바키아,0
492,강동구,남,팔레스타인,0
493,강동구,남,피지,0
494,강동구,남,온두라스,0
495,강동구,남,몰도바,0
496,강동구,남,부르키나파소,0
497,강동구,남,조지아,0
498,강동구,남,슬로베니아,0
499,강동구,남,시에라리온,0
500,강동구,남,자메이카,0
501,강동구,남,모잠비크,0
502,강동구,남,라트비아,0
